Titre;Description;MotsClés;NomDuLieu;CodePostal;Ville;Région;Département;TypeEvénement;AgeMinimum;AgeMaximum;ConditionsDeParticipation
Grignols, notre village d'autrefois;Grignols notre village d'autrefois;;Bibliothèque municipale de Grignols;33690;Grignols;Nouvelle-Aquitaine;Gironde;Exposition;;;Entrée libre
Une nuit de la lecture en pleine après-midi;Différents types de lecture et activités sur le thème nuit, sommeil, rêve, lune;"Atelier;création;lecture à voix haute;lecture audio";Groupe scolaire Dessenheim;68600;Dessenheim;Grand Est;Haut-Rhin;Lecture / Conte;;;Sur inscription
Lectures;lectures sonores;;Collège Anatole France Toulouse;31400;Toulouse;Occitanie;Haute-Garonne;Lecture / Conte;10;99;Sur inscription
Ecouter, lire et jouer à la bilbiothèque de nuit !;Venez écouter des histoires, de la musique, lire et jouer à la médiathèque jusque 22h.;;Médiathèque Christiane Doutart;76460;Saint-Valery-en-Caux;Normandie;Seine-Maritime;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);;;Entrée libre
À la découverte des livres de l'école;a la découverte des livres de l'école;histoires;École maternelle l'Estanque;31660;Bessières;Occitanie;Haute-Garonne;Lecture / Conte;;;Entrée libre
Une nuit dans l'espace;Des lectures autour de l'espace, de la conquête de la lune à l'infini du cosmos..;"Lecture;espace;cosmos;lune;contes;collège";Collège Odilon Barrot;48800;Villefort;Occitanie;Lozère;Lecture / Conte;8;99;Sur inscription
"Théâtre-patate ""La Conteuse et son roi nu"" par la Cie Chiloé";ouverture de la médiathèque dans le noir avec des surprises ... suivi d'un moment de théâtre-patate : l'histoire de la Conteuse et son roi nu par la Cie Chiloé;ouverture de nuit - théâtre -;Médiathèque d'Heyrieux;38540;Heyrieux;Auvergne-Rhône-Alpes;Isère;Spectacle (danse, concert, performance, théâtre…);;;Entrée libre
Chasse aux trésors dans les coulisses de la bibliothèque;Entrée gratuite pour toute la famille. Sur réservation. Enfants accompagnés d’un seul adulte. Lampe de poche conseillée.;;Bibliothèque Municipale de Wattrelos;59150;Wattrelos;Hauts-de-France;Nord;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);6;99;Sur inscription
Soirée astronomie;une soirée autour de l'astronomie et l'astrophysique pour comprendre et observer le ciel;;Médiathèque Ramon Llull;66370;Pézilla-la-Rivière;Occitanie;Pyrénées-Orientales;Lecture / Conte;;99;Sur inscription
Livres en scène - Accès aux livres libre, petites lectures;Livres en scène : des livres, des lectures, des ateliers, un spectacle conté qui va au cœur des cités.;"Livres en scène;Ti Baba et le repas gourmand;Spectacle;Conte;dégustationss;Lecture-goûter;auteur;La P'tite Scène Qui Bouge";Groupe d'habitations Les Bons Enfants;97546;Saint-Pierre;La Réunion;;Lecture / Conte;;99;Entrée libre
Lecture à la médiathèque intercommunale à Monségur;Lectures pour les enfants : des histoires à grignoter avant le souper...;lecture;Médiathèque intercommunale de proximité;33580;Monségur;Nouvelle-Aquitaine;Gironde;Lecture / Conte;5;10;Entrée libre
Moment musical et poétique avec le duo de guitares PALISSANDRE, Vanessa Dartier et Yann Dufresne;Concert  et poésie …La  musique populaire espagnole de De Falla et lecture de poèmes de Federico Garcia Lorca par le Duo Palissandre;"De Falla;Garcia Lorca;poésie;concert;duo;Palissandre";Librairie l'Éclectique;;Saint-Maur-des-Fossés;Île-de-France;Val-de-Marne;Spectacle (danse, concert, performance, théâtre…);;;Entrée libre
Escape game à la bibliothèque;Saurez-vous résoudre l'énigme en moins d'une heure ?;Escape game;Bibliothèque municipale de Prévessin-Moëns;1280;Prévessin-Moëns;Auvergne-Rhône-Alpes;Ain;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);12;121;Sur inscription
Des voix dans la nuit, balade en lecture;Découvrez les coulisses de l'Odyssée en vous laissant guider par les voix de seize lecteurs.;"lecture à voix haute;visite insolite;les envers du décor;projet habitants";Médiathèque Espace culturel Odyssée;38320;Eybens;Auvergne-Rhône-Alpes;Isère;Visite guidée / visite insolite;;;Sur inscription
Heure du conte costumée;Au crépuscule, venons découvrir des histoires autour du courage !;;Médiathèque Alain Peyrefitte;77160;Provins;Île-de-France;Seine-et-Marne;Lecture / Conte;;;Entrée libre
Contes de Bernard Marcotte;Lecture de contes de Bernard Marcotte , issus des Fantaisies Bergamasques, seul ouvrage paru de son vivant.;"Marcotte;Bernard;Contes";L'Agora - Médiathèque-Musée du Pays Rethelois;8300;Rethel;Grand Est;Ardennes;Lecture / Conte;6;99;Entrée libre
Le noir pour réveiller nos sens - Goûter;Plus d'informations sur facebook: https://www.facebook.com/jt.euronbayonnais;;Bibliothèque intercommunale Marie Marvingt;54290;Bayon;Grand Est;Meurthe-et-Moselle;Dégustation, buffet, collation…;;;Entrée libre
Soirée lectures;Soirée lecture à la bibliothèque - Transmettre le goût de lire;lecture;Bibliothèque Au Gré des Mots;34190;Saint-Bauzille-de-Putois;Occitanie;Hérault;Lecture / Conte;;;Entrée libre
Blind Test Littéraire;Venez tester vos connaissances littéraires en retrouvant de quelles œuvres sont extraites les lectures à voix haute.;Jeux Blind Test quizz lectures;Médiathèque de Lherm;31600;Lherm;Occitanie;Haute-Garonne;Lecture / Conte;;;Entrée libre
Entre madame et mademoiselle, spectacle musical;Spectacle musical qui met le féminin à l'honneur;"spectacle musicale;musique;chansons;portrait;femme";Médiathèque Jean-Loup Trassard;53100;Mayenne;Pays de la Loire;Mayenne;Spectacle (danse, concert, performance, théâtre…);14;99;Entrée libre
Chorale participative;Une restitution des 3 ateliers chant avec Magali Grégoire;"chant;comptine;parent;enfant";Médiathèque Jean-Loup Trassard;53100;Mayenne;Pays de la Loire;Mayenne;Atelier;;99;Entrée libre
Soirée lectures;Partager des lectures. Découvrir les atouts de la lecture à voix haute dans la convivialité.;Lecture;Bibliothèque George Sand;18500;Vignoux-sur-Barangeon;Centre-Val de Loire;Cher;Lecture / Conte;10;12;Entrée libre
Histoires à frissonner la nuit;Contes à frissonner la nuit;"nuit;peur";Bibliothèque municipale de La Roque-d'Anthéron;13640;La Roque-d'Anthéron;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Lecture / Conte;8;40;Entrée libre
Pyjama Party Little Urban;La librairie Chantepages et Little Urban vous invitent à une très chouette pyjama party ! Au programme, lecture d'albums choisis par ton libraire préféré.;"pyjama party;lecture;albums;littérature jeunesse";Librairie chantepages;19000;Tulle;Nouvelle-Aquitaine;Corrèze;Lecture / Conte;;;Sur inscription
Pyjama Party Little Urban;La librairie Le Grimoire et Little Urban vous invitent à une très chouette pyjama party ! Au programme, lecture d'albums choisis par ton libraire préféré.;"pyjama party;lecture;albums;littérature jeunesse";Librairie Le Grimoire;88500;Mirecourt;Grand Est;Vosges;Lecture / Conte;;;Sur inscription
Pyjama Party Little Urban;La librairie Au temps des livres et Little Urban vous invitent à une très chouette pyjama party ! Au programme, lecture d'albums choisis par ton libraire préféré.;"pyjama party;lecture;albums;littérature jeunesse";Librairie Au temps des livres;45600;Sully-sur-Loire;Centre-Val de Loire;Loiret;Lecture / Conte;;;Sur inscription
Pyjama Party Little Urban;La librairie l'Imaginarium et Little Urban vous invitent à une très chouette pyjama party ! Au programme, lecture d'albums choisis par ton libraire préféré.;"pyjama party;lecture;albums;littérature jeunesse";Librairie l'Imaginarium;95290;L'Isle-Adam;Île-de-France;Val-d'Oise;Lecture / Conte;;;Sur inscription
Lecture spectacle de l'écrivain Didier Goupil;Lecture spectacle;"Lectures;peinture;Public adulte;occitanie Livre et Lecture";Médiathèque François Mitterrand;34200;Sète;Occitanie;Hérault;Lecture / Conte;;;Entrée libre
Foyer rural de Bagneux : lectures apéritives;Autour d'un verre, les participants sont invités à partager un extrait d'une lecture qui les a emmenés en voyage.;;Salle des Fêtes de Bagneux;54170;Bagneux;Grand Est;Meurthe-et-Moselle;Lecture / Conte;;;Entrée libre
Rencontre avec Yannick Grannec;Rencontre, échange et entretien.;"Entretien;echange;auteur;dédicace;lecture;librairie";Le Forum Arts & Livres;6370;Mouans-Sartoux;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Rencontre d'auteur(s) et dédicace;15;99;Entrée libre
Découverte de BD;Visite en médiathèque et présentation de BD;;Association Montjoie;61370;Sainte-Gauburge-Sainte-Colombe;Normandie;Orne;Partage de coups de cœur, conseils de lecture, « speed-booking »;;;Sur inscription
"Escape game ""Mystère chez Champollion""";Jeu : Mystère chez Champollion;;Bibliothèque municipale de Saint-Joseph-de-Rivière;38134;Saint-Joseph-de-Rivière;Auvergne-Rhône-Alpes;Isère;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);10;99;Sur inscription
La lune rouille - Projections;Une nuit (et deux jours) de la lecture steampunk au lycée Jean Racine;;Lycée polyvalent Jean Racine;80500;Montdidier;Hauts-de-France;Somme;Projection;;;Sur inscription
Soirée lecture à voix haute;"Les élèves de l'atelier théâtre proposent une lecture à voix haute d'extraits de la pièce ""Aussi loin que la lune"" de Sylvain Levey.";;Collège Arsenal;;Metz;Grand Est;Moselle;Lecture / Conte;;;Entrée libre
Partage de lectures;Lecture ouverte à qui veut venir faire découvrir un texte de son cru ou de son choix !;kairn arras en lavedan librairie bistro-librairie nuit lecture 18 janvier;Bistro-librairie Le Kairn;65400;Arras-en-Lavedan;Occitanie;Hautes-Pyrénées;Lecture / Conte;;;Entrée libre
Contes de mon enfance;L'équipe éducative de l'école lira les contes de leur enfance à des élèves en petits groupes dans une ambiance de nuit;;École Blanche de Castille;78150;Le Chesnay-Rocquencourt;Île-de-France;Yvelines;Lecture / Conte;5;10;Sur inscription
Soyez noctamBUles ! Nocturne à la BU de Pau - Visite insolite;Visite insolite des magasins : amenez votre frontale et venez découvrir la face cachée de la bibliothèque !;"visite magasins;visite réserves";Bibliothèque universitaire de Pau;64000;Pau;Nouvelle-Aquitaine;Pyrénées-Atlantiques;Visite guidée / visite insolite;;;Entrée libre
"Spectacle ""L'animal rit""";"Représentation du spectacle conté ""L'Animal rit"", mis en jeu par Jean-Louis Esclapès, d'après ""Tête à tête"" de Geert de Kockere.";"Conte;Spectacle";Collège Daniel Mayer;75018;Paris;Île-de-France;Paris;Spectacle (danse, concert, performance, théâtre…);11;13;Sur inscription
Soirée jeux;Soirée jeux à la médiathèque;"jeux;ludothèque";Médiathèque de Callian;83440;Callian;Provence-Alpes-Côte d'Azur;Var;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);6;99;Sur inscription
Lectures en pyjama;Lecture d'albums sur le thème du partage;;Bibliothèque Les Touches;44390;Les Touches;Pays de la Loire;Loire-Atlantique;Lecture / Conte;3;10;Sur inscription
La veillée lecture;Venez présenter et lire des extraits de vos textes préférés ou laissez-vous simplement cueillir par ceux proposés par les membres de l’atelier de lecture à voix haute de la médiathèque.;"veillée;lecture;coup de coeur";Médiathèque de Haute-Saintonge;17500;Jonzac;Nouvelle-Aquitaine;Charente-Maritime;Lecture / Conte;;;Entrée libre
Soirée contes;Les conteuses bibliques racontent les Midrash de Moïse.;Contes;Maison Saint-Yves;22000;Saint-Brieuc;Bretagne;Côtes-d'Armor;Lecture / Conte;15;99;Entrée libre
Marathon de lecture;Venez participer à un marathon de lecture en fin de soirée! Qui lira le plus grand nombre de pages?;Marathon Lecture;Médiathèque de Lherm;31600;Lherm;Occitanie;Haute-Garonne;Concours;;;Entrée libre
Escape game au CDI;Escape game litteraire au CDI du lycée Dr Lacroix de Narbonne;"lecture;nuit;escape game;CDI;Lycée Lacroix;Narbonne;atelier d'écriture";Lycée Dr Lacroix;11100;Narbonne;Occitanie;Aude;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);15;99;Sur inscription
Escape game à la médiathèque;Plongez-vous dans l'ambiance d'une escape game au milieu des livres et des grimoires ...;"Escape game;famille;ambiance;jeux";Médiathèque Rose Payre;26300;Alixan;Auvergne-Rhône-Alpes;Drôme;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);9;99;Sur inscription
Les nouveautés au CDI;Présentation des dernières aquisitions du CDI du collège;"livres;BD;nouveau";Collège Sainte Jeanne d'Arc;60600;Agnetz;Hauts-de-France;Oise;Partage de coups de cœur, conseils de lecture, « speed-booking »;;;Entrée libre
Un jeu, une histoire, une soupe et au dodo.;Lectures musicales proposées par les membres du club de lecture Marque page accompagnés au hang par Adrien Sautet.;;Médiathèque Les Temps Modernes;40220;Tarnos;Nouvelle-Aquitaine;Landes;Lecture / Conte;10;99;Entrée libre
"Les Croqueurs d’histoires pour les 0-4 ans ""Vive le vent d'hiver""";Lectures pour les 0-4 ans animées par une bibliothécaire. Sur inscription à partir du mardi 14 janvier.;;Médiathèque Les Temps Modernes;40220;Tarnos;Nouvelle-Aquitaine;Landes;Lecture / Conte;;4;Sur inscription
Partages de coups de coeur à la médiathèque de Jausiers;Soirée lecture ouverte à tous;;Médiathèque de Jausiers;4850;Jausiers;Provence-Alpes-Cote d'Azur;Alpes-de-Haute-Provence;Lecture / Conte;5;99;Entrée libre
Jeux à la médiathèque;Matinée de jeux pour tous autour des mots;"jeux;scrabble;escape game;mots croisées";Médiathèque Intercommunale Cap-d'Ail;6320;Cap-d'Ail;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);;;Entrée libre
Lectures en pyjama;Lectures dans une ambiance tamisée;;Bibliothèque Lire et Délire;49360;Maulévrier;Pays de la Loire;Maine-et-Loire;Lecture / Conte;;;Entrée libre
Lectures animées;Lectures animées;;Espace culturel de la marquise Brassac;81260;Brassac;Occitanie;Tarn;Lecture / Conte;;;Entrée libre
Le Voyage de Jasmin;Le Voyage de Jasmin;"Bibliothèque/médiathèque;gratuit;tout public;spectacle;vendee";Bibliothèque de Bazoges en Paillers;85130;Bazoges-en-Paillers;Pays de la Loire;Vendée;Spectacle (danse, concert, performance, théâtre…);3;99;Entrée libre
Soirée pyjama;Soirée lecture pour petits et grands;"PYJAMA;ENFANT;ADULTE;LECTURES";Bibliothèque municipale de Maurs;15600;Maurs;Auvergne-Rhône-Alpes;Cantal;Lecture / Conte;;;Entrée libre
Mur d'expression;Atelier d'écriture sur le thème de la nuit;"nuit;atelier d'écriture;cadavre exquis";Médiathèque intercommunale Saint-Jean-Cap-Ferrat;6230;Saint-Jean-Cap-Ferrat;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Atelier;;;Entrée libre
"Escape game : ""Qui a tué Gaïa ?""";"Escape game : ""Qui a tué Gaïa ?"", médiathèque de Cancon, samedi 18 janvier, à 20h";"escape game;environnement";Médiathèque intercommunale du Canconnais;47290;Cancon;Nouvelle-Aquitaine;Lot-et-Garonne;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);10;99;Sur inscription
Atelier boîte de nuit;Atelier créatif;"arts plastiques;veilleuse;atelier;création;nuit;lumière";Médiathèque intercommunale Saint-Jean-Cap-Ferrat;6230;Saint-Jean-Cap-Ferrat;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Atelier;5;99;Sur inscription
Fabrication de hérissons;Atelier de fabrication de hérisson à partir de livres;;Bibliothéque municipale de Saint-Zacharie;83640;Saint-Zacharie;Provence-Alpes-Côte d'Azur;Var;Atelier;6;11;Sur inscription
Remise du prix du concours photo « jour de fête »;La nuit de la lecture pour fêter les 20 ans de la Médiathèque;"murder party;concours photo;ateliers créatifs;cocktail";Médiathèque de Suresnes;92150;Suresnes;Île-de-France;Hauts-de-Seine;Concours;;;Entrée libre
Frise d'anniversaire;La nuit de la lecture pour fêter les 20 ans de la Médiathèque;"murder party;concours photo;ateliers créatifs;cocktail";Médiathèque de Suresnes;92150;Suresnes;Île-de-France;Hauts-de-Seine;Atelier;;;Entrée libre
Atelier créatif à partir de 10 ans - Nuit de la lecture;La nuit de la lecture pour fêter les 20 ans de la Médiathèque;"murder party;concours photo;ateliers créatifs;cocktail";Médiathèque de Suresnes;92150;Suresnes;Île-de-France;Hauts-de-Seine;Atelier;10;121;Sur inscription
Concert dessiné;Venez profitez d'un concert dessiné entre l'illustratrice Anaïs Lambert (auteure de Pas de géant sélectionné au Prix Ficelle 2019) et la violoncelliste Annemie Osborne !;"Prix Ficelle;Réseau de bibliothèques;Concert dessiné";Salle socio-Culturelle de Bury;60250;Bury;Hauts-de-France;Oise;Spectacle (danse, concert, performance, théâtre…);;;Entrée libre
Temps du conte;L’équipe de la médiathèque Victor-Hugo vous invite pour sa deuxième édition de la Nuit de la lecture.;jeunesse;Mediathèque Victor Hugo;44119;Grandchamps-des-Fontaines;Pays de la Loire;Loire-Atlantique;Lecture / Conte;;;Sur inscription
"Bébés lecteurs avec le RAM ""Les Bouts d'choux""";Installez-vous confortablement dans l'espace Bébés Lecteurs et écoutez avec votre petit bout les histoires lues, contées ou racontées par Florence;"bébés lecteurs;histoires contées;détente;plaisir;échanges parents enfants";Salle des fêtes de Talais;33590;Talais;Nouvelle-Aquitaine;Gironde;Lecture / Conte;;99;Entrée libre
Atelier fabrication d'Attrape-rêves;Utilisez vos petites mains pour fabriquer un joli attrape-rêves à suspendre dans la chambre ou à offrir;"attrape-rêves;création;fabrication;pour de beaux rêves;à vos petits mains;loisirs créatifs";Salle des fêtes de Talais;33590;Talais;Nouvelle-Aquitaine;Gironde;Atelier;;99;Entrée libre
"La ""boîte à petits bonheurs"" et autres lectures";"venez découvrir l'univers de Christine Roussey et de sa ""Boîte à petits bonheurs""";"lectures;Christine Roussey";Bibliothèque de Cadaujac;33140;Cadaujac;Nouvelle-Aquitaine;Gironde;Lecture / Conte;6;10;Sur inscription
"Spectacle ""Tête de lecture""";"Yves Heck et son spectacle ""Tête de lecture"" à la bibliothèque d'architecture contemporaine (Cité de l'architecture et du patrimoine)";"architecture;vienne;autriche;littérature;lecture à voix haute";Cité de l'architecture et du patrimoine;75116;Paris;Île-de-France;Paris;Lecture / Conte;18;99;Entrée libre
Atelier d'écriture;Atelier d'écriture;Atelier d'écriture;Bibliothèque municipale de Vérin;42410;Vérin;Auvergne-Rhône-Alpes;Loire;Atelier;18;99;Sur inscription
Lectures en pyjama;Lectures à voix haute;"bibliothèque/médiathèque;entréelibre;jeunepublic;lecture conte";La Médiathèque;44460;Fégréac;Pays de la Loire;Loire-Atlantique;Lecture / Conte;;;Entrée libre
Rencontre d'auteur;Rencontre avec le scénariste et illustrateur de bandes-dessinées Alain Buisson;"rencontre et dédicace d'auteur;bande dessinée";Bibliothèque de St Maurice-lès-Châteauneuf;71740;Saint-Edmond;Bourgogne-Franche-Comté;Saône-et-Loire;Rencontre d'auteur(s) et dédicace;;;Entrée libre
Atelier d'écriture adultes;Atelier d'écriture adultes;"atelier d écriture;adultes;partage";Bibliothèque Aragon;59210;Coudekerque-Branche;Hauts-de-France;Nord;Atelier;18;99;Entrée libre
Atelier d'écriture jeunesse;atelier d'écriture pour la jeunesse  sur le theme du PARTAGE;"atelier d'écriture;jeunesse;partage";Bibliothèque Aragon;59210;Coudekerque-Branche;Hauts-de-France;Nord;Atelier;8;13;Entrée libre
Présentation d'ouvrages;Présentation par madame Anne NOBLOT de ses ouvrages;"presentation;dedicace;dicussion";Bibliothèque Aragon;59210;Coudekerque-Branche;Hauts-de-France;Nord;Rencontre d'auteur(s) et dédicace;8;99;Entrée libre
Soirée lectures;Soirée lectures autour de passages des écrits d'Albert Londres;"Texte;Albert Londres;reportage;image";Maison natale d'Albert Londres;3200;Vichy;Auvergne-Rhône-Alpes;Allier;Lecture / Conte;;;Sur inscription
"Lecture-dédicace de ""Trop beau"" d'Emmanuelle Heidsieck";"Rencontre avec Emmanuelle Heidsieck et lecture de son roman, ""Trop beau"".";"emmanuelle heidsieck;lecture;dedicace;beauté;discrimination;roman social;littérature;dystopie";Librairie Michèle Ignazi;75004;Paris;Île-de-France;Paris;Rencontre d'auteur(s) et dédicace;;;Entrée libre
Lectures à haute-voix;Lectures à haute-voix de Corine Pourtau;"lecture à haute;rencontre d'auteur";Bibliothèque de Gibles;71800;Gibles;Bourgogne-Franche-Comté;Saône-et-Loire;Lecture / Conte;;;Entrée libre
Nuit de la lecture célébrée avec Michel Galaret;Michel Galaret conte;"enfant;enfants;adolescent;adolescents;conteur;famille;adulte;adultes;tout public";Médiathèque municipale du Passage d'Agen;75116;Paris;Île-de-France;Paris;Lecture / Conte;;;Entrée libre
Nuit de la lecture des enfants - Spectacle;Une animation proposée par l'équipe de la médiathèque;"enfant;conte;spectacle;enfants;lecture";Médiathèque municipale du Passage d'Agen;75116;Paris;Île-de-France;Paris;Spectacle (danse, concert, performance, théâtre…);;10;Entrée libre
Lecture d'un conte à voix haute;Lecture d'un conte à voix haute;;Collège Daniel Mayer;75018;Paris;Île-de-France;Paris;Lecture / Conte;11;15;Sur inscription
"Visite ""Victor Hugo et Chateaubriand""";Manuscrits et portraits autour de deux monstres sacrés de la littérature au XIXe;;Maison de Chateaubriand – Vallée-aux-Loups;92290;Châtenay-Malabry;Île-de-France;Hauts-de-Seine;Visite guidée / visite insolite;;;Entrée libre
"""Peau(x) d'Arbre(s)"" - Une exposition photographique de Jean-Luc Allègre";Première exposition en métropole pour célébrer 25 ans de carrière, l'exposition de Jean-Luc Allègre se prolonge jusqu'à fin janvier avec une participation à la Nuit de la lecture;"Littérature - photographie - arbre - exposition;aubusson";Galerie des Marches;23200;Aubusson;Nouvelle-Aquitaine;Creuse;Exposition;6;99;Entrée libre
Nuit des coups de coeur;Vous avez aimé un livre, un film, une BD, une musique ? Venez le partager avec les autres adhérents !;coup de coeur;Médiathèque François-Rabelais;92230;Gennevilliers;Île-de-France;Hauts-de-Seine;Partage de coups de cœur, conseils de lecture, « speed-booking »;;;Entrée libre
Atelier libre du T2G;Une séance de pratique artistique à la rencontre d’un artiste dont le nom est gardé secret jusqu’au soir de l’atelier. Une seule exigence : la curiosité !;"atelier;rencontre;artiste";Médiathèque François-Rabelais;92230;Gennevilliers;Île-de-France;Hauts-de-Seine;Atelier;;;Sur inscription
Ateliers-rencontres autour de la chaîne du livre par Alexandra Chauvelon;Alexandra Chauvelon vient à la rencontre de 8 classes du CE2 à la 6e qui suivent le Feuilleton des Incos de Nadine Brun-Cosme pour des ateliers qui leur feront découvrir la chaîne du livre.;"rencontre;feuilleton des incos;prix des incos;scolaire;éditeur;éditrice;atelier;éditions Le grand jardin";Médiathèque Eliane Chartier;10600;La Chapelle-Saint-Luc;Grand Est;Aube;Atelier;;;Sur inscription
Lectures de contes et albums;Histoires de chouettes : lectures de contes et d'albums pour les 3-7 ans;"conte;lectures à voix haute";Bibliothèque municipale de Viviers-du-Lac;73420;Viviers-du-Lac;Auvergne-Rhône-Alpes;Savoie;Lecture / Conte;;;Sur inscription
La Galerie 9 3/4;Départ immédiat pour un voyage au coeur de l'univers des magiciens, sorciers et autres rêveurs...;"Harry Potter;Magie;Atelier";Médiathèque Jean Prévost;69500;Bron;Auvergne-Rhône-Alpes;Métropole de Lyon;Atelier;4;99;Entrée libre
Café- rencontres autour des livres;Partage de coups de coeur autour des livres;club de lecture;Bibliothèque de Châtenay;71800;Châtenay;Bourgogne-Franche-Comté;Saône-et-Loire;Partage de coups de cœur, conseils de lecture, « speed-booking »;;;Entrée libre
Nuit de la lecture à Majo : du théâtre à la lecture;Le LYCEE LOUIS MAJORELLE organise sa Nuit de la lecture  L’évènement se déroulera le 17 janvier 2020 de 17h30 à 22h00 dans les locaux du Lycée.;théâtre;Lycée Louis Majorelle;54200;Toul;Grand Est;Meurthe-et-Moselle;Spectacle (danse, concert, performance, théâtre…);6;99;Entrée libre
Nuit de la lecture à Majo : interludes musicaux;Le LYCEE LOUIS MAJORELLE organise sa Nuit de la lecture  L’évènement se déroulera le 17 janvier 2020 de 17h30 à 22h00 dans les locaux du Lycée.;musique;Lycée Louis Majorelle;54200;Toul;Grand Est;Meurthe-et-Moselle;Spectacle (danse, concert, performance, théâtre…);6;99;Entrée libre
Contes et comptines du monde;Petites comptines et contes courts traditionnels du monde racontés avec les mains et des objets. Par la conteuse France Quatromme.;"Conte;comptines;enfants;famille";Bibliothèque de Lamballe - site de Meslin;22400;Lamballe-Armor;Bretagne;Côtes-d'Armor;Lecture / Conte;;;Entrée libre
Quel est ce livre dont le titre est mimé ?;Faire deviner le titre d'un livre en le mimant !!!;jeu mime titre livre amusant deviner trouver chercher;Bibliothèque municipale de Rions;33410;Rions;Nouvelle-Aquitaine;Gironde;Autre (précisez dans le champ ci-dessous);;99;Entrée libre
"Hé ! crie ton amour pour la Méditerranée, ""Les poètes sont encore vivants""";Journée poésie : atelier d'écriture la Fabriq'à text', rencontre avec Philippe Gastine pour se lancer en poésie et projection du film Les poètes sont encore vivants de Xavier Gayan;"atelier;écriture;lecture;poésie;concours;projection;Méditerranée";Médiathèque Nelson Mandela;13120;Gardanne;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Projection;12;112;Entrée libre
La yourte à lire;"Lectures d'histoires pour les petits et les grands sous une ""yourte à lire"" ! Dépaysement assuré";;Médiathèque de Haute-Saintonge;17500;Jonzac;Nouvelle-Aquitaine;Charente-Maritime;Lecture / Conte;3;99;Sur inscription
Soirée jeux;Pour finir la soirée dans la convivialité, la bibliothèque propose une soirée jeux pour les ados et les adultes. Vous pouvez amener un de vos jeux préférés si vous souhaitez.;;Bibliothèque de Désaignes;7570;Désaignes;Auvergne-Rhône-Alpes;Ardèche;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);10;99;Entrée libre
Speed-booking;Speed-booking;"speed-booking;livre;avis;échange;partage;livres";Halle Grenette;38300;Bourgoin-Jallieu;Auvergne-Rhône-Alpes;Isère;Partage de coups de cœur, conseils de lecture, « speed-booking »;;;Sur inscription
Lecture pour enfants en anglais !;Lecture pour enfants en anglais;;Halle Grenette;38300;Bourgoin-Jallieu;Auvergne-Rhône-Alpes;Isère;Lecture / Conte;4;8;Entrée libre
Nocturne à la bibliothèque;Ouverture en nocturne;"Nocturne;Lectures;Impromptus";Bibliothèque municipale d'Entre-Deux-Guiers;38380;Entre-Deux-Guiers;Auvergne-Rhône-Alpes;Isère;Autre (précisez dans le champ ci-dessous);;;Entrée libre
Théâtre d’impro;Choisis ton album et il sera joué par Thierry, Cécile et Gaël;"spectacle;théâtre;théâtre d'improvisation;albums";Médiathèque d'Olliergues;63880;Olliergues;Auvergne-Rhône-Alpes;Puy-de-Dôme;Spectacle (danse, concert, performance, théâtre…);;;Entrée libre
Quiz littéraire;Venez tester vos connaissances !!!;quiz;Librairie Papeterie Ecriture;26120;Chabeuil;Auvergne-Rhône-Alpes;Drôme;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);;;Entrée libre
Création d'une bande dessinée participative;Venez ajouter votre touche à la création commune d'une bande dessinée en Pop Art;Bande dessinée;Foyer de vie Les Cattelaines;59320;Haubourdin;Hauts-de-France;Nord;Atelier;10;99;Entrée libre
Exposition : Livres d'artistes;La Médiathèque centre-ville d'Issy vous dévoile ses riches fonds de livres d'artistes.;livres d'artistes;Médiathèque centre-ville;92130;Issy-les-Moulineaux;Île-de-France;Hauts-de-Seine;Exposition;;99;Entrée libre
Décalages immédiats;4 lieux, 4 comédiens, 4 spectacles, 1 voyage au coeur de la Sibérie...;;Médiathèque du MI[X];64150;Mourenx;Nouvelle-Aquitaine;Pyrénées-Atlantiques;Spectacle (danse, concert, performance, théâtre…);;;Entrée libre
On joue !;Après-midi jeux en famille. Pour découvrir l'espace jeu de la médiathèque;;Médiathèque Albert Gardoni;69480;Anse;Auvergne-Rhône-Alpes;Rhône;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);3;99;Entrée libre
